n_rl_m,chi_rl_rad,s_ref_rl_m,theta_ref_rl_rad,mu_ref_rl_rad,phi_ref_rl_rad,dtheta_ref_rl_radpm,dmu_ref_rl_radpm,dphi_ref_rl_radpm
-0.026252,0.000098,0,0.108637,-0.000445,-0.018637,0.00005,0.000006,0.000019
-0.026153,0.000101,0.999855,0.108687,-0.000439,-0.018618,0.00005,0.000006,0.000019
-0.02605,0.000104,1.99971,0.108737,-0.000434,-0.018598,0.000051,0.000006,0.00002
-0.025945,0.000107,2.999565,0.108789,-0.000428,-0.018578,0.000052,0.000006,0.00002
-0.025837,0.00011,3.99942,0.108841,-0.000422,-0.018557,0.000053,0.000006,0.000021
-0.025726,0.000112,4.999274,0.108895,-0.000416,-0.018536,0.000054,0.000006,0.000021
-0.025612,0.000115,5.999129,0.108948,-0.00041,-0.018514,0.000054,0.000006,0.000022
-0.025497,0.000117,6.998984,0.109003,-0.000405,-0.018492,0.000055,0.000006,0.000022
-0.025378,0.000119,7.998839,0.109059,-0.000399,-0.01847,0.000056,0.000006,0.000023
-0.025258,0.000121,8.998694,0.109115,-0.000393,-0.018447,0.000057,0.000006,0.000023
-0.025136,0.000123,9.998549,0.109172,-0.000388,-0.018423,0.000057,0.000006,0.000024
-0.025012,0.000125,10.998404,0.10923,-0.000382,-0.018399,0.000058,0.000006,0.000024
-0.024886,0.000127,11.998259,0.109289,-0.000377,-0.018375,0.000059,0.000005,0.000024
-0.024758,0.000129,12.998114,0.109348,-0.000371,-0.018351,0.00006,0.000005,0.000025
-0.024628,0.00013,13.997968,0.109408,-0.000366,-0.018326,0.00006,0.000005,0.000025
-0.024497,0.000132,14.997823,0.109469,-0.000361,-0.0183,0.000061,0.000005,0.000025
-0.024364,0.000134,15.997678,0.10953,-0.000356,-0.018275,0.000062,0.000005,0.000026
-0.02423,0.000135,16.997533,0.109592,-0.000351,-0.018249,0.000062,0.000005,0.000026
-0.024094,0.000137,17.997388,0.109655,-0.000346,-0.018223,0.000063,0.000005,0.000026
-0.023957,0.000138,18.997243,0.109718,-0.000341,-0.018196,0.000064,0.000005,0.000027
-0.023818,0.00014,19.997098,0.109782,-0.000337,-0.018169,0.000064,0.000004,0.000027
-0.023677,0.000142,20.996953,0.109847,-0.000333,-0.018142,0.000065,0.000004,0.000027
-0.023535,0.000143,21.996808,0.109912,-0.000329,-0.018115,0.000066,0.000004,0.000027
-0.023391,0.000145,22.996662,0.109978,-0.000325,-0.018088,0.000066,0.000004,0.000027
-0.023245,0.000147,23.996517,0.110044,-0.000321,-0.018061,0.000067,0.000004,0.000027
-0.023098,0.000148,24.996372,0.110111,-0.000317,-0.018033,0.000067,0.000003,0.000028
-0.022948,0.00015,25.996227,0.110179,-0.000314,-0.018006,0.000068,0.000003,0.000028
-0.022798,0.000152,26.996082,0.110247,-0.000311,-0.017978,0.000069,0.000003,0.000028
-0.022645,0.000154,27.995937,0.110316,-0.000308,-0.01795,0.000069,0.000003,0.000028
-0.022491,0.000155,28.995792,0.110386,-0.000305,-0.017923,0.00007,0.000003,0.000028
-0.022334,0.000157,29.995647,0.110456,-0.000302,-0.017895,0.00007,0.000003,0.000028
-0.022176,0.000159,30.995502,0.110526,-0.0003,-0.017867,0.000071,0.000002,0.000028
-0.022016,0.000161,31.995356,0.110598,-0.000298,-0.01784,0.000072,0.000002,0.000028
-0.021855,0.000163,32.995211,0.11067,-0.000296,-0.017812,0.000072,0.000002,0.000027
-0.021691,0.000165,33.995066,0.110742,-0.000294,-0.017785,0.000073,0.000002,0.000027
-0.021526,0.000166,34.994921,0.110815,-0.000292,-0.017758,0.000073,0.000002,0.000027
-0.021358,0.000168,35.994776,0.110889,-0.000291,-0.01773,0.000074,0.000001,0.000027
-0.021189,0.00017,36.994631,0.110963,-0.000289,-0.017704,0.000075,0.000001,0.000027
-0.021018,0.000172,37.994486,0.111038,-0.000288,-0.017677,0.000075,0.000001,0.000027
-0.020845,0.000174,38.994341,0.111113,-0.000287,-0.01765,0.000076,0.000001,0.000026
-0.02067,0.000176,39.994196,0.111189,-0.000286,-0.017624,0.000076,0.000001,0.000026
-0.020493,0.000178,40.99405,0.111266,-0.000286,-0.017598,0.000077,0.000001,0.000026
-0.020314,0.00018,41.993905,0.111343,-0.000285,-0.017572,0.000077,0,0.000026
-0.020134,0.000181,42.99376,0.111421,-0.000285,-0.017547,0.000078,0,0.000025
-0.019952,0.000183,43.993615,0.111499,-0.000285,-0.017521,0.000079,0,0.000025
-0.019768,0.000185,44.99347,0.111578,-0.000285,-0.017497,0.000079,0,0.000025
-0.019582,0.000187,45.993325,0.111658,-0.000285,-0.017472,0.00008,0,0.000024
-0.019394,0.000189,46.99318,0.111738,-0.000285,-0.017448,0.00008,0,0.000024
-0.019204,0.00019,47.993035,0.111818,-0.000285,-0.017424,0.000081,0,0.000024
-0.019013,0.000192,48.99289,0.1119,-0.000285,-0.017401,0.000081,0,0.000023
-0.01882,0.000194,49.992744,0.111981,-0.000286,-0.017377,0.000082,-0.000001,0.000023
-0.018625,0.000196,50.992599,0.112064,-0.000286,-0.017355,0.000083,-0.000001,0.000023
-0.018429,0.000197,51.992454,0.112146,-0.000287,-0.017332,0.000083,-0.000001,0.000022
-0.01823,0.000199,52.992309,0.11223,-0.000288,-0.01731,0.000084,-0.000001,0.000022
-0.01803,0.000201,53.992164,0.112314,-0.000289,-0.017289,0.000084,-0.000001,0.000021
-0.017829,0.000202,54.992019,0.112398,-0.000289,-0.017268,0.000085,-0.000001,0.000021
-0.017625,0.000204,55.991874,0.112483,-0.00029,-0.017247,0.000085,-0.000001,0.000021
-0.017421,0.000206,56.991729,0.112568,-0.000291,-0.017227,0.000086,-0.000001,0.00002
-0.017214,0.000207,57.991584,0.112654,-0.000292,-0.017207,0.000086,-0.000001,0.00002
-0.017006,0.000209,58.991438,0.112741,-0.000293,-0.017187,0.000087,-0.000001,0.000019
-0.016797,0.00021,59.991293,0.112828,-0.000294,-0.017168,0.000087,-0.000001,0.000019
-0.016585,0.000212,60.991148,0.112915,-0.000295,-0.017149,0.000088,-0.000001,0.000018
-0.016373,0.000213,61.991003,0.113003,-0.000296,-0.017131,0.000088,-0.000001,0.000018
-0.016159,0.000215,62.990858,0.113092,-0.000297,-0.017113,0.000089,-0.000001,0.000018
-0.015944,0.000216,63.990713,0.113181,-0.000299,-0.017096,0.000089,-0.000001,0.000017
